Name,Overall,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
S. Ulreich,80,14,12,8,41,13,13,12,15,38,22,41,40,34,79,39,24,66,29,41,11,25,14,8,42,22,45,16,18,14,79,72,69,80,86
M. Musacchio,80,55,40,76,69,36,65,53,45,67,67,69,71,73,76,68,57,83,68,76,53,76,84,50,64,57,76,84,84,80,5,11,12,6,12
C. Stuani,80,68,80,87,74,74,78,66,57,65,79,70,69,65,81,62,79,83,81,78,75,81,36,82,69,80,77,45,49,42,16,14,9,16,8
P. Gul·csi,80,16,10,23,29,10,19,18,11,25,25,42,44,41,72,50,23,67,35,68,12,34,23,11,36,24,45,25,16,20,81,80,76,76,81
Bruno,80,60,66,61,85,48,74,72,77,84,78,34,31,49,77,60,80,58,50,72,76,76,80,69,85,75,84,81,80,78,13,10,9,11,8
F. Delph,80,74,64,60,82,59,77,72,53,76,82,75,72,87,81,86,82,67,87,65,75,84,80,72,73,65,76,77,81,79,10,9,14,11,6
A. Lallana,80,74,72,67,84,72,84,77,66,76,85,70,69,78,74,75,72,70,77,64,71,76,64,75,83,70,80,61,64,62,6,15,14,8,11
Marcelo,80,36,48,83,70,42,51,39,41,72,65,54,54,49,71,47,76,81,85,90,30,83,81,39,57,51,71,80,82,73,16,15,10,7,14
S. Coleman,80,82,61,69,78,64,79,42,53,70,78,77,75,73,80,74,75,71,77,69,66,78,80,75,70,55,82,78,84,82,5,15,10,13,7
Alexandre Pato,80,68,80,69,75,75,81,81,70,53,80,84,85,83,78,69,76,78,67,72,73,63,29,79,66,74,74,35,23,19,16,7,13,15,8
Antunes,80,81,56,69,77,69,74,82,80,76,80,76,79,76,78,76,87,63,85,68,84,75,80,70,66,61,70,68,81,82,10,7,10,9,14
Nacho Monreal,80,76,55,72,77,58,73,74,52,61,77,72,67,70,82,73,74,74,74,65,61,77,81,66,66,61,76,80,83,81,7,5,9,3,5
BeÒat,80,80,69,47,84,61,72,83,84,82,80,64,41,70,78,73,87,59,77,70,76,74,70,77,84,69,73,63,73,65,16,10,14,6,13
A. Fern·ndez,80,70,69,59,81,57,78,65,61,80,81,69,71,75,80,79,74,59,75,73,73,80,77,78,81,62,81,68,76,64,9,13,6,16,9
K. Gameiro,80,70,78,67,79,78,75,76,70,72,79,86,85,81,80,77,82,85,75,64,73,66,38,85,75,81,82,50,33,39,6,10,8,8,6
I. Piatti,80,69,81,54,78,77,86,80,55,74,84,77,76,87,82,81,83,31,89,73,80,79,55,83,77,80,82,61,62,24,14,13,7,7,15
V. Birsa,80,78,62,60,82,73,84,78,78,76,86,70,74,68,76,68,84,68,72,77,83,55,49,75,82,76,80,68,52,40,3,5,5,5,3
S. Romero,80,11,14,12,39,17,12,12,13,48,40,47,44,52,78,44,14,63,35,75,11,33,21,11,55,16,62,14,11,15,78,76,81,77,82
D. Criscito,80,82,56,69,80,62,72,72,66,81,73,78,77,68,78,65,68,80,89,73,59,79,77,68,75,70,75,84,82,83,13,10,16,9,9
D. Valeri,80,78,80,70,79,75,78,80,79,76,82,62,60,72,80,73,85,68,82,63,84,53,36,84,82,79,83,39,40,30,15,15,8,10,12
D. Sturridge,80,62,83,70,72,73,79,62,68,62,80,72,78,74,78,64,82,70,55,66,79,60,22,81,74,75,81,11,24,12,7,15,9,5,13
Ra˙l GarcÌa,80,78,79,90,79,55,78,72,68,80,85,47,57,66,86,64,85,76,74,82,86,84,69,85,83,76,83,69,74,63,14,16,14,16,15
S. Defour,80,77,67,62,81,70,78,78,77,78,80,67,62,71,80,79,76,70,77,68,74,81,82,73,80,71,82,79,76,71,7,6,14,16,10
M. äkrtel,80,39,35,83,68,43,46,33,27,67,57,49,62,49,72,52,46,73,76,86,35,82,79,33,28,39,71,77,82,78,15,5,7,6,11
S. Radu,80,67,55,70,71,51,66,45,48,67,69,70,68,70,78,67,79,65,69,74,74,75,85,55,60,57,76,86,86,85,9,12,12,6,13
G. Cahill,80,28,56,85,66,47,56,48,27,60,61,42,48,51,79,47,63,80,61,79,64,85,78,45,56,53,74,83,82,81,5,12,9,5,12
L. Diarra,80,60,38,59,79,37,73,57,41,75,80,69,69,79,77,87,74,76,85,68,67,77,80,50,73,49,83,78,79,81,9,5,12,10,15
L. Perrin,80,65,55,81,74,44,62,59,51,77,73,62,63,63,76,72,65,81,73,78,61,77,83,58,63,68,80,77,84,82,6,7,12,11,14
Dante,80,58,47,80,74,44,57,51,55,76,74,38,41,52,76,64,64,65,62,81,53,74,79,41,62,57,78,82,82,80,14,8,10,6,13
A. Granqvist,80,49,51,81,73,37,49,36,40,67,63,46,49,55,76,36,74,64,67,83,59,81,82,54,49,79,78,82,83,79,7,9,12,10,15
A. Gignac,80,72,83,78,70,78,73,77,70,68,73,73,68,66,74,55,84,72,71,89,79,80,51,80,72,78,80,33,41,23,10,15,14,11,11
M. GÛmez,80,60,81,82,70,73,72,68,36,50,71,63,66,62,80,50,82,76,60,86,74,73,20,83,62,69,83,40,31,20,8,8,9,7,14
I. Akinfeev,80,19,13,18,23,10,15,19,13,22,22,51,50,53,71,45,24,62,35,72,13,24,17,11,59,10,67,18,13,13,77,72,78,82,84
I. Denisov,80,67,61,59,80,60,73,62,54,74,78,67,65,77,76,76,71,70,86,64,63,88,80,64,72,62,77,81,81,73,13,7,15,13,12
Juanfran,80,81,54,59,77,49,75,80,59,66,78,74,86,74,82,63,68,68,80,74,53,78,76,68,72,66,74,75,81,80,11,14,10,15,7
Diego LÛpez,80,11,12,10,28,14,11,10,11,23,23,34,52,48,78,47,22,68,42,66,11,36,16,11,53,21,62,16,13,14,75,81,74,81,76
Santi Cazorla,80,85,71,58,85,72,84,86,78,84,86,58,52,72,76,84,77,53,53,54,76,64,61,76,86,80,88,62,60,50,6,9,5,7,15
Jes˙s Navas,80,82,64,55,75,75,80,82,46,73,80,89,88,87,78,87,75,65,82,35,70,63,69,79,73,56,70,62,61,62,10,10,15,7,13
J. Mascherano,80,63,42,66,79,51,58,63,50,75,80,69,62,72,79,78,76,80,76,72,55,88,85,51,68,60,81,78,81,82,6,10,8,5,5
A. Mirante,80,10,17,13,35,15,24,17,13,35,25,44,43,50,77,50,23,62,33,55,15,32,17,10,43,21,65,10,12,12,82,80,64,78,82
D. Srna,80,85,69,60,85,72,72,86,83,87,83,69,76,71,78,65,83,67,74,72,77,83,85,76,86,84,81,77,78,77,10,10,6,6,12
B. Schweinsteiger,80,76,69,75,82,79,71,82,74,83,78,36,37,61,81,63,81,71,67,75,77,77,77,73,81,77,87,76,74,75,14,14,13,13,11
Moy·,80,11,11,12,31,13,13,16,12,35,24,46,34,54,74,49,21,62,30,57,16,22,11,10,68,11,60,15,14,14,84,77,81,80,79
W. Rooney,80,77,80,75,81,83,74,84,83,82,80,65,65,66,82,77,85,74,74,78,80,81,56,80,82,81,86,57,55,40,10,11,13,8,7
Fernando Torres,80,68,76,77,79,81,80,80,63,51,79,71,78,70,73,51,83,75,60,72,73,62,20,80,76,74,69,39,22,18,14,13,8,9,10
S. Sorrentino,80,11,10,10,36,18,14,14,11,34,20,34,40,52,67,48,21,74,28,74,13,22,25,10,34,20,66,25,10,13,81,82,66,82,79
V. Tsygankov,79,76,75,45,80,68,80,68,71,69,81,82,83,77,78,73,70,50,74,47,72,57,39,75,80,61,79,66,36,37,9,7,15,6,12
R˙ben Dias,79,34,29,81,69,30,54,33,26,44,60,63,64,47,75,56,54,76,77,78,22,94,76,39,34,45,72,79,80,75,7,8,13,7,12
David Neres,79,66,76,50,78,72,87,65,52,52,84,85,86,91,72,84,72,58,73,63,65,52,37,73,78,69,78,32,32,32,14,10,5,13,6
Raphinha,79,76,75,45,73,69,81,77,74,62,80,88,86,86,79,82,80,70,87,65,74,74,52,79,73,68,81,45,41,27,8,7,13,8,14
A. Harit,79,69,63,46,78,64,86,70,54,75,84,87,77,90,76,83,67,57,73,32,64,46,39,73,77,57,71,44,50,32,15,13,10,13,6
Richarlison,79,69,79,75,75,64,84,71,65,59,79,83,85,78,78,74,80,80,78,76,64,82,35,78,72,69,77,46,44,36,12,7,8,11,13
L. MartÌnez,79,56,82,79,62,68,78,71,33,50,79,82,83,79,75,70,79,81,75,86,68,74,31,79,72,59,77,46,22,25,11,8,8,8,13
F. KessiÈ,79,66,64,68,79,60,78,58,48,75,79,71,77,68,76,79,84,79,96,87,76,86,80,76,71,82,76,80,78,74,9,11,12,12,10
Luimo Boas Santos,79,42,79,73,74,76,82,79,60,56,78,86,82,83,82,69,75,82,80,67,82,43,20,82,75,74,73,27,20,19,9,12,8,10,9
Gabri Prest„o,79,8,9,7,11,8,18,12,13,12,20,58,62,66,76,43,15,60,23,60,12,35,12,5,60,15,64,22,9,16,81,75,71,77,82
Melvin Parrela,79,52,68,83,78,67,72,64,68,72,74,62,78,67,75,69,75,71,87,82,70,84,72,67,72,72,76,82,84,77,15,7,16,9,8
AntÙnio Chiamuloira,79,55,51,76,68,44,44,54,50,72,62,67,72,49,79,49,43,88,62,81,51,88,77,24,47,66,70,81,78,81,9,14,13,8,10
Maikel Catarino,79,81,48,69,73,49,78,55,49,75,77,83,76,82,81,75,52,51,85,62,56,62,77,57,61,41,54,79,78,76,15,13,12,10,15
A. Lunev,79,16,14,17,25,13,15,18,17,32,17,58,54,36,76,50,24,60,27,70,13,26,20,11,63,15,69,18,20,12,80,73,65,77,85
AndrÈ Silva,79,59,82,77,69,79,77,69,33,58,79,77,83,77,77,72,76,84,77,74,60,76,55,83,68,80,75,28,40,35,14,13,7,11,8
C. Pulisic,79,69,67,46,77,70,87,69,58,56,82,93,88,87,79,89,79,84,74,52,58,45,32,73,78,61,67,38,30,41,8,12,13,16,14
M. Dmitrovi?,79,30,20,20,40,20,8,20,9,40,9,39,35,32,73,37,40,45,45,79,17,20,17,9,45,9,59,19,22,20,74,79,78,81,79
L. Tousart,79,60,42,76,76,43,69,36,45,73,73,69,69,64,76,68,73,81,85,82,54,85,82,51,67,48,71,77,82,76,11,15,16,10,15
Marcos Llorente,79,56,39,61,84,44,68,45,51,81,78,61,59,58,74,66,58,66,75,72,56,65,80,65,76,53,76,76,79,72,13,6,6,11,15
B. Verbi?,79,70,74,65,75,68,81,63,65,69,80,85,81,78,79,81,70,72,77,72,71,74,32,80,75,63,76,54,34,33,15,11,13,6,12
S. Bergwijn,79,72,73,55,75,67,87,76,66,53,83,87,88,78,71,89,78,71,74,76,74,44,26,74,73,59,75,40,31,26,11,14,12,14,13
A. Diallo,79,66,38,81,76,39,73,46,32,78,76,75,77,75,78,69,43,84,76,78,24,76,77,56,68,41,81,75,80,78,12,7,7,7,8
A. Golovin,79,69,72,38,80,70,86,75,79,73,82,80,83,82,79,78,76,63,85,54,75,81,70,73,78,52,80,67,75,66,12,14,14,10,16
M. CampaÒa,79,21,16,15,31,12,18,15,13,25,29,40,48,40,71,44,28,60,18,81,17,27,30,18,55,23,51,22,16,18,81,75,74,80,82
C. PavÛn,79,76,72,48,76,57,79,72,77,68,76,93,90,92,77,85,84,61,92,73,84,56,49,78,77,59,68,65,34,30,11,10,9,13,7
K. Toko-Ekambi,79,74,81,74,69,72,80,62,63,58,80,84,83,79,76,75,78,71,70,77,72,43,28,80,65,69,78,27,14,18,10,12,12,8,14
Granell,79,73,74,55,83,56,76,80,76,79,80,65,60,71,72,77,73,66,69,64,81,73,74,74,78,68,69,55,75,65,6,13,13,14,14
F. Cervi,79,78,65,48,73,55,85,78,76,67,84,93,90,91,82,91,68,60,87,33,64,71,59,75,72,56,81,42,50,53,12,8,9,11,10
J. Weigl,79,58,41,63,85,56,74,63,46,80,79,72,59,77,80,65,48,67,80,63,52,64,84,56,77,50,80,74,78,73,6,14,16,11,7
V. Lindelˆf,79,64,36,76,79,34,66,64,66,73,75,68,77,66,75,63,68,75,75,77,57,78,79,44,67,55,76,77,80,77,12,16,8,7,9
A. Rebi?,79,74,79,71,72,83,83,75,58,57,79,83,86,75,77,66,81,66,80,83,78,84,29,75,68,63,73,20,50,25,13,15,12,13,14
A. Sanabria,79,67,81,77,74,67,82,73,64,63,83,77,79,78,74,75,75,75,69,76,65,32,21,82,73,69,76,50,20,15,8,14,9,14,13
R. Battaglia,79,46,63,68,78,53,74,45,60,76,76,67,69,60,78,61,76,74,94,78,78,88,83,75,73,57,73,82,83,76,7,7,7,9,9
M. Philipp,79,66,81,54,78,80,85,68,65,62,82,84,79,83,79,75,82,59,68,68,79,55,39,79,74,75,67,39,48,39,8,12,10,10,9
A. Saint-Maximin,79,66,70,53,72,59,87,70,46,68,81,92,92,93,78,87,80,68,74,66,70,36,15,74,70,47,72,26,16,22,10,9,12,7,7
D. Zappacosta,79,81,59,69,74,69,76,74,59,68,74,74,79,72,76,73,75,67,87,68,72,75,76,71,64,59,73,76,78,79,11,9,8,6,11
L. Alario,79,48,84,81,69,76,75,49,43,48,79,71,73,72,71,71,75,90,71,78,62,72,22,85,65,75,74,22,27,20,8,15,7,15,15
D. Benedetto,79,61,86,76,67,71,71,67,60,65,74,78,84,77,74,71,81,87,77,76,80,66,28,82,69,72,78,50,25,25,10,14,12,8,11
I. Marcone,79,58,48,73,80,49,69,59,60,83,73,54,34,60,79,57,73,35,86,85,66,84,76,56,69,59,76,74,80,71,16,11,12,16,10
J. Gbamin,79,69,40,71,78,45,74,62,60,74,76,76,85,68,76,66,78,77,83,83,71,85,79,63,72,40,72,79,80,71,11,13,8,14,10
J. Lerma,79,66,56,65,78,56,69,66,65,74,77,74,76,75,72,76,82,84,90,76,75,83,80,58,68,58,63,78,81,81,16,14,11,7,9
Ricardo Horta,79,77,74,51,76,82,80,78,70,69,81,78,75,85,81,85,78,62,80,45,71,64,55,81,76,71,69,32,44,35,7,9,10,8,13
R. Zobnin,79,69,65,70,81,55,82,65,65,79,82,74,78,70,79,65,65,63,90,63,67,70,75,64,72,57,77,81,79,76,10,8,13,15,9
M. Meyer,79,74,63,37,85,60,84,74,69,75,82,76,60,89,79,90,45,60,83,52,60,80,72,72,80,60,78,71,66,62,8,12,13,11,14
Bruma,79,72,71,53,75,60,87,77,70,60,83,94,89,93,75,90,81,73,77,54,73,64,38,74,70,71,72,26,27,28,11,13,8,12,8
R. CenturiÛn,79,71,72,61,68,60,86,68,73,66,80,91,89,89,75,88,68,60,91,53,70,63,38,70,76,67,75,28,37,38,7,6,7,11,8
Jonny,79,77,34,70,73,44,73,60,54,59,76,77,78,72,71,78,66,75,83,64,45,82,80,53,55,46,70,77,79,82,7,10,12,10,6
Ot·vio,79,78,67,56,77,63,84,74,72,74,83,76,74,86,80,82,67,57,68,54,68,73,46,76,79,72,80,52,41,27,11,12,9,10,15
J. Hofmann,79,81,69,40,79,62,80,69,71,71,79,78,76,78,79,77,68,61,81,56,68,43,47,78,77,70,68,49,44,40,6,6,10,10,10
N. AkÈ,79,63,45,74,77,52,67,62,59,73,73,75,74,68,79,69,63,86,73,75,56,72,78,53,65,48,72,79,81,80,10,7,7,16,10
J. Hector,79,79,55,71,78,51,74,65,65,74,77,75,77,67,80,67,69,66,82,76,61,71,81,62,72,65,78,76,79,79,9,10,10,12,14
S. Kolaöinac,79,77,59,74,76,48,73,43,25,53,74,68,75,49,77,55,82,76,79,90,58,93,73,66,60,44,72,73,81,80,15,9,16,7,9
G. Pizarro,79,62,59,68,80,62,70,66,54,75,76,62,53,62,72,44,69,74,89,80,65,87,80,67,71,60,77,75,80,76,7,12,16,15,7
Roger,79,66,82,72,72,78,76,48,46,52,76,78,79,78,75,78,80,75,72,74,72,65,35,83,65,80,70,44,36,31,15,13,15,14,8
Sergio Rico,79,17,14,11,28,15,14,24,20,26,12,48,46,62,76,43,19,63,36,54,12,27,19,11,53,24,60,16,11,11,77,78,77,79,81
L. Milivojevi?,79,66,54,75,79,50,62,71,78,75,74,53,59,58,77,58,79,62,86,82,72,88,79,66,73,87,73,78,76,72,13,9,16,6,12
D. Baselli,79,74,67,64,82,73,80,79,73,78,83,75,69,79,75,75,76,69,75,67,81,65,68,75,80,71,74,67,65,63,11,12,13,7,6
K. Rekik,79,43,33,78,75,35,57,35,35,68,67,66,69,65,76,64,60,77,70,80,31,85,74,41,57,41,71,78,81,85,9,9,14,14,9
Denis Su·rez,79,77,72,44,82,68,83,82,70,78,84,77,77,82,82,76,75,58,72,57,73,47,62,76,81,63,70,69,59,42,10,14,10,7,7
W. Orban,79,38,38,83,66,33,53,28,32,56,58,51,53,48,74,56,37,90,67,85,29,79,77,34,42,41,68,76,83,77,15,12,15,10,6
M·rio Rui,79,79,27,60,76,53,79,68,66,72,76,88,83,88,78,89,69,92,91,54,73,73,77,59,64,60,73,71,76,76,13,5,9,8,14
IÒigo MartÌnez,79,51,42,73,71,37,53,72,51,81,68,71,74,67,75,64,81,90,71,78,74,84,81,48,46,39,69,75,80,83,12,16,11,13,11
K. Zouma,79,49,47,77,63,47,50,60,59,60,63,60,70,45,74,52,63,89,63,91,49,83,78,53,59,59,67,77,78,79,14,14,7,9,15
Roque Mesa,79,67,65,32,82,34,74,46,48,77,79,74,75,76,76,89,63,77,88,69,54,89,78,64,74,42,83,75,75,76,15,8,7,11,9
J. Brooks,79,36,39,82,73,32,65,30,28,72,64,66,76,57,73,51,50,72,61,84,29,75,77,40,57,45,81,79,81,76,8,7,10,9,10
L. Karius,79,14,18,14,38,14,16,12,14,41,23,55,54,51,75,43,20,74,36,64,16,21,13,8,50,19,60,9,11,13,82,74,78,76,82
ZÈ LuÌs,79,45,74,83,67,75,80,66,54,44,81,80,81,64,80,61,79,92,68,83,64,76,29,78,75,75,72,36,19,24,8,11,16,10,14
D. Klaassen,79,63,77,74,81,82,72,62,44,75,80,71,64,67,78,64,78,72,83,69,77,77,67,80,78,75,83,63,72,61,12,6,13,16,10
M. Elyounoussi,79,75,72,64,82,74,80,73,64,75,78,87,78,84,72,82,76,81,88,62,70,49,36,71,73,64,72,40,31,44,12,7,8,7,13
L. Bittencourt,79,73,65,45,79,66,84,77,70,72,80,90,79,92,76,90,70,72,78,48,62,72,52,70,75,61,72,56,55,55,15,11,6,14,16
Sergi Darder,79,68,59,52,84,54,76,69,58,81,81,58,45,75,76,77,74,48,70,68,69,71,69,75,83,55,81,62,68,69,7,10,6,14,6
J. Roussillon,79,77,64,69,74,57,77,75,56,69,77,87,85,77,73,78,73,73,84,77,65,75,76,71,71,51,72,72,80,78,9,7,13,8,15
D. Demme,79,71,26,57,82,48,73,65,62,79,77,68,53,88,76,85,64,79,93,67,30,82,79,67,70,58,74,74,77,73,14,10,14,12,9
J. Gouweleeuw,79,60,46,73,68,49,60,45,36,80,66,68,69,65,78,61,72,68,72,78,77,78,84,61,71,42,74,80,82,76,13,7,16,13,7
M. Rojo,79,74,50,79,72,48,64,67,57,73,67,68,69,68,74,63,80,82,68,77,63,92,77,57,57,64,73,76,81,79,7,8,12,15,10
J. Veretout,79,74,66,54,84,68,76,70,76,79,79,72,66,76,79,76,76,69,79,68,74,72,76,72,78,78,80,69,76,72,9,10,11,8,9
L. Kurzawa,79,79,73,75,80,61,76,73,53,72,80,79,74,75,80,72,69,82,79,72,67,75,76,76,75,54,76,72,77,79,14,10,7,9,15
G. RamÌrez,79,74,74,57,81,71,80,79,77,77,81,70,69,78,76,73,77,66,62,53,76,69,32,75,80,73,77,30,45,39,14,15,7,7,8
David LÛpez,79,53,65,74,79,56,64,48,46,64,76,57,59,51,72,55,77,74,75,84,64,78,80,59,68,50,67,77,82,76,9,12,7,11,15
C. T?t?ru?anu,79,13,15,15,37,11,16,11,11,37,19,50,47,59,74,42,14,63,42,73,12,33,26,13,48,16,45,12,15,12,80,76,75,79,82
A. Mandi,79,78,41,84,78,36,64,67,49,73,73,65,66,77,76,65,52,82,69,74,49,69,80,67,68,35,74,78,79,84,15,16,9,10,14
D. SidibÈ,79,78,62,72,79,42,77,77,73,73,78,78,79,70,75,69,69,83,91,75,68,76,75,75,69,43,75,72,76,77,10,16,9,12,7
Y. Konoplyanka,79,75,76,43,77,67,82,83,80,74,81,89,79,83,77,78,76,62,68,63,77,52,37,76,74,75,74,25,30,27,5,11,15,9,9
S. Berghuis,79,79,75,48,76,74,82,86,74,76,82,80,75,82,76,70,82,53,72,58,83,63,37,75,76,70,73,34,36,30,9,11,7,7,15
H. Vanaken,79,71,74,73,84,70,77,75,78,80,83,45,55,56,80,58,74,47,91,76,75,45,69,81,83,66,80,70,53,32,13,6,9,15,11
CampaÒa,79,73,73,65,82,58,77,81,78,81,81,65,61,67,74,75,75,57,76,73,76,66,73,68,80,69,80,75,75,69,8,11,6,7,10
M. van Ginkel,79,71,76,74,83,74,75,66,69,79,80,62,69,71,77,59,79,74,76,71,76,69,63,78,77,84,84,71,73,68,7,11,13,13,14
Nolito,79,77,79,56,76,65,80,82,80,67,80,74,70,82,84,81,74,66,70,63,81,73,50,81,79,74,82,49,39,27,10,15,12,8,8
M. Gregoritsch,79,65,80,71,77,70,75,83,78,69,78,65,68,67,78,52,84,50,69,79,81,58,33,78,73,64,65,36,40,38,10,6,9,16,6
Ibai GÛmez,79,79,79,47,77,75,82,85,81,78,81,79,77,79,75,78,83,66,68,66,79,63,45,78,80,65,67,73,58,55,14,8,13,7,11
Danilo,79,74,61,69,77,72,73,76,76,69,79,73,76,70,79,65,85,74,82,76,74,75,81,75,64,67,69,78,77,78,14,5,15,14,5
R. Barkley,79,65,68,65,82,61,85,68,70,78,84,69,70,66,74,58,81,62,69,77,80,74,45,71,79,65,80,54,58,51,9,14,12,6,10
M. Ryan,79,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,35,78,34,68,18,36,23,10,68,25,64,10,20,17,81,74,82,78,83
Sergio LeÛn,79,41,82,76,72,81,77,73,64,34,78,76,75,81,77,75,78,77,73,68,79,71,35,80,61,75,78,55,33,21,9,8,9,11,12
B. Stambouli,79,45,50,72,77,40,66,42,43,79,76,65,63,67,78,65,65,73,76,76,62,78,81,60,74,50,80,83,80,75,8,13,11,15,15
J. Guilavogui,79,52,49,85,78,49,67,42,53,75,73,65,72,53,79,50,78,76,77,82,66,81,83,63,65,50,74,80,79,82,14,8,14,10,15
SÈrgio Oliveira,79,76,67,64,81,73,77,73,80,79,80,62,56,66,74,67,87,56,74,65,87,70,72,72,81,74,76,71,69,46,9,9,11,11,10
D. Caligiuri,79,83,72,65,78,68,81,80,61,70,80,77,78,76,79,74,78,76,85,70,81,74,76,75,77,83,76,70,72,68,12,10,13,6,14
C. Wilson,79,52,83,73,71,69,74,63,45,60,77,87,89,74,74,74,76,65,72,75,66,73,40,82,71,75,78,29,39,25,10,15,8,10,6
P. Jones,79,60,44,78,73,49,59,38,35,67,64,54,59,52,77,59,68,82,64,79,59,86,80,42,54,55,68,76,81,82,10,8,6,16,11
Borja GarcÌa,79,70,77,53,82,59,80,67,54,80,81,81,77,75,72,77,67,72,67,67,78,52,66,77,79,62,61,45,72,59,9,13,13,12,16
Y. Belhanda,79,79,74,67,78,69,84,78,78,76,83,75,72,85,79,78,78,77,84,63,79,75,66,70,78,80,72,50,54,55,15,16,11,6,16
G. Pezzella,79,40,48,82,64,40,54,46,25,58,66,52,52,34,77,48,54,84,55,77,50,82,80,50,22,35,72,78,82,78,7,9,13,10,15
Jaume Costa,79,80,53,68,79,38,69,67,59,65,78,79,81,76,69,78,75,73,78,63,62,85,80,66,57,56,69,76,78,79,10,11,16,10,14
C. Tosun,79,64,79,82,72,74,75,72,73,60,78,72,75,73,80,66,83,80,73,74,75,75,31,81,61,82,77,33,34,15,12,14,12,12,9
Escudero,79,81,56,68,77,51,68,69,69,77,75,72,77,74,78,77,81,74,83,69,63,75,81,63,56,66,69,80,76,81,9,15,7,13,14
Kike GarcÌa,79,53,80,80,70,81,75,42,46,49,80,65,71,65,75,54,82,74,71,79,75,71,37,79,65,70,63,35,34,21,7,9,8,13,13
Elkeson,79,67,75,79,75,76,76,76,80,66,77,86,76,77,75,74,86,76,79,77,72,68,56,77,78,85,76,30,57,35,9,16,7,8,7
Ricardo Goulart,79,73,77,76,81,74,78,70,66,74,81,80,77,72,76,80,76,66,75,65,74,61,33,83,77,72,75,37,41,34,9,14,8,8,7
J. Gumundsson,79,82,70,64,78,72,81,79,77,75,79,79,77,76,77,76,84,78,78,70,74,66,58,74,79,70,79,58,59,49,7,6,14,10,8
N. Clyne,79,78,54,68,75,45,76,64,39,66,78,77,78,79,75,75,74,69,76,67,69,76,79,72,64,46,75,78,81,82,10,11,13,15,7
M. Hitz,79,12,27,18,29,26,13,15,17,25,17,41,46,41,72,31,38,67,39,78,12,25,23,8,15,22,42,13,15,14,81,80,63,79,81
De Marcos,79,77,59,59,75,57,75,77,53,69,78,79,89,76,80,74,73,78,93,73,56,77,76,78,66,55,75,69,76,75,8,6,13,15,9
B. Mee,79,63,30,79,63,29,63,45,31,61,65,62,63,63,75,70,60,93,70,82,39,82,79,38,60,36,74,79,81,80,15,7,12,10,14
Rafael,79,77,53,64,77,59,80,77,51,70,78,84,78,79,80,83,72,82,82,73,62,85,79,79,72,58,76,73,77,77,14,7,6,12,8
Iborra,79,53,69,79,83,66,70,66,70,81,81,39,35,51,75,31,81,64,66,84,65,75,78,77,77,73,76,79,79,74,14,11,6,15,8
J. Wilshere,79,73,62,58,84,64,81,77,71,80,82,68,63,76,76,83,74,66,68,60,72,81,61,77,81,65,80,62,64,65,6,15,15,9,11
B. H¸bner,79,47,20,85,57,45,58,40,42,49,63,54,55,45,78,48,52,61,63,79,22,76,79,41,51,50,71,81,84,79,16,8,7,8,16
Souza,79,63,55,75,76,44,71,68,61,73,78,68,71,69,75,66,77,65,92,83,71,83,80,66,67,63,74,79,81,76,10,12,7,10,8
F. Coquelin,79,60,54,60,77,53,72,55,41,74,78,70,72,73,74,81,71,81,78,79,57,91,82,62,67,52,74,78,80,79,9,9,8,10,15
Alex Teixeira,79,63,77,54,80,78,80,73,49,70,81,93,90,90,82,83,72,82,83,72,75,52,67,80,79,74,84,30,35,43,10,9,14,7,12
A. Dzagoev,79,75,70,67,79,72,78,74,75,76,81,81,69,71,80,72,76,73,74,66,71,69,71,76,81,65,78,69,71,70,11,16,12,14,10
I. Smolnikov,79,73,61,69,79,57,72,49,46,75,72,84,90,80,75,76,67,85,93,68,57,65,71,77,72,41,73,76,76,80,7,12,10,8,15
Y. M'Vila,79,62,56,61,83,56,73,70,67,79,76,74,69,73,76,65,68,71,81,75,67,83,81,41,72,68,73,73,75,72,13,9,16,15,7
K. Asamoah,79,78,55,68,81,76,82,72,68,79,81,77,77,85,78,83,84,78,76,75,78,82,78,78,76,64,76,80,78,80,5,4,3,4,5
R. Zieler,79,15,10,13,25,12,12,11,10,22,22,46,50,43,80,41,21,69,32,55,14,32,21,15,42,24,61,20,12,13,75,76,70,79,81
D. Drinkwater,79,64,60,61,80,69,75,72,69,83,78,63,63,67,77,76,77,54,77,69,72,74,75,71,79,53,78,69,76,73,12,6,8,9,12
N. Kalini?,79,60,83,78,72,75,73,64,54,48,78,67,73,69,78,58,76,68,71,77,60,68,42,87,66,70,78,46,32,28,9,11,9,11,7
Mariano,79,83,54,59,76,58,75,82,56,75,82,87,79,74,77,73,84,70,92,70,68,76,72,74,69,61,70,71,72,81,10,12,12,9,13
S. Feghouli,79,78,68,60,74,68,85,62,68,67,82,83,89,86,78,76,79,72,72,58,74,62,31,77,75,62,63,30,32,31,13,7,10,10,8
Adrien Silva,79,77,67,61,81,75,78,79,75,80,80,64,57,70,76,68,83,53,69,59,79,79,80,73,78,85,79,60,78,73,15,6,8,10,7
